"step","stepNumber"
"Set viewport size to width 1080 and height 1440","1"
"Visit URL assigned to variable ""app.url""","2"
"Echo: ""--> Handle cookie consent and navigate to the login form""","3"
"Click on HO CAPITO button","4"
"Click on LOGIN button","5"
"GenAI Assert: The username and password input fields are visible on the page.","6"
"Assert that input field with placeholder text Nome utente is on the page","7"
"Assert that input field with placeholder text Password is on the page","8"
"Echo: ""--> Log in with provided credentials""","9"
"Set variable ""username"" to ""**USERNAME**""","10"
"Set variable ""password"" to ""**PASSWORD**""","11"
"Enter text ""{{@username}}"" in Nome utente input field","12"
"Enter text ""{{@password}}"" in Password input field","13"
"Click on Accedi button","14"
"Click on Valutazione link with handshake icon in the left navigation menu","15"
"Click on Sistemi di valutazione link in the left navigation menu","16"
"Assert that dropdown menu with label 'STAI OPERANDO COME' is on the page","17"
"Echo: ""--> Navigate to 'Sistemi di Valutazione'""","18"
"Assert that Dropdown menu with label 'STAI OPERANDO COME' is on the page","19"
"Echo: ""--> Select 'Valutato - Area non it' from the dropdown and validate personnel""","20"
"Click on input field with label STAI OPERANDO COME","21"
"Click on text input field with current value 'Valutato - Area non it'","22"
"Assert that text '**USERNAME**' under 'Persona valutata' header is on the page","23"
"Echo: ""--> Proceed to next screen and interact with sections""","24"
"Click on right arrow icon next to 'Commenti del val...'","25"
"Click on first 'SEZIONE TEST 2025 - SE' button","26"
"Click on second 'SEZIONE TEST 2025 - SE' button","27"
"GenAI Assert: The list of texts 'Impegno Concretezza Resilieneza Versatilità Fiducia Collaborazione Disponibilità Atteggiamento Efficacia' is displayed on the screen.","28"
"Click on the dropdown for 'Collaborazione' with selected value 3","29"
"Click on the dropdown for 'Atteggiamento' with selected value 5","30"
"Click on option with text '3' in the dropdown for Collaborazione","31"
"Click on option with text '5' in the dropdown for Atteggiamento","32"
"Enter text ""3"" in dropdown with current value 3 for Collaborazione","33"
"Enter text ""5"" in dropdown with current value 5 for Atteggiamento","34"
